Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
3723,Sponsor,ServerName,2020-10-27T05:00:03.315932Z,distance,48.557,216909016.071193,5968875.63544902,,ipaddr
3723,Sponsor,ServerName,2020-10-27T06:00:02.231556Z,distance,47.057,224972888.662159,6156183.90526953,,ipaddr
3723,Sponsor,ServerName,2020-10-27T07:00:02.335969Z,distance,45.936,212300497.365529,5876008.72576575,,ipaddr
3723,Sponsor,ServerName,2020-10-27T08:00:02.461867Z,distance,46.51,203392918.91441,5794992.50096254,,ipaddr
3723,Sponsor,ServerName,2020-10-27T09:00:03.777264Z,distance,45.88,221912069.458095,6265522.68161147,,ipaddr
3723,Sponsor,ServerName,2020-10-27T10:00:02.435717Z,distance,46.631,222399819.117621,5877479.63554352,,ipaddr
3723,Sponsor,ServerName,2020-10-27T11:00:03.913446Z,distance,48.642,227283207.999523,5924131.94563956,,ipaddr
3723,Sponsor,ServerName,2020-10-27T12:00:03.145828Z,distance,47.552,225864048.306767,6086747.5635953,,ipaddr
3723,Sponsor,ServerName,2020-10-27T13:00:02.567381Z,distance,48.334,220569426.07972,5765628.92815133,,ipaddr
21090,Sponsor,ServerName,2020-10-27T14:00:02.805900Z,distance,54.018,210820208.845108,5754445.962829,,ipaddr
3723,Sponsor,ServerName,2020-10-27T15:00:02.341515Z,distance,48.586,223294760.938719,5948072.82995217,,ipaddr
18648,Sponsor,ServerName,2020-10-27T16:00:30.721694Z,distance,40.756,190012906.176682,4457212.11114995,,ipaddr
3723,Sponsor,ServerName,2020-10-27T17:00:02.683535Z,distance,48.179,218780145.375232,5971309.20890405,,ipaddr
4999,Sponsor,ServerName,2020-10-27T18:00:02.827250Z,distance,44.94,173767812.938372,6178880.46837988,,ipaddr
4999,Sponsor,ServerName,2020-10-27T19:00:02.804387Z,distance,30.608,227421327.620878,5848012.54166634,,ipaddr
4999,Sponsor,ServerName,2020-10-27T20:00:02.146307Z,distance,33.417,226360101.542255,6127113.1764094,,ipaddr
4999,Sponsor,ServerName,2020-10-27T21:00:02.764780Z,distance,29.073,232503647.440853,6033279.64551496,,ipaddr
4999,Sponsor,ServerName,2020-10-27T22:00:02.005623Z,distance,30.721,231450142.228568,5970445.36546635,,ipaddr
4999,Sponsor,ServerName,2020-10-27T23:00:03.089433Z,distance,30.949,231069197.989385,5873530.13981265,,ipaddr
4999,Sponsor,ServerName,2020-10-28T00:00:02.545543Z,distance,31.032,214301600.670693,5728904.62246554,,ipaddr
3723,Sponsor,ServerName,2020-10-28T01:00:01.956454Z,distance,50.201,192780042.904643,6139705.90189458,,ipaddr
22454,Sponsor,ServerName,2020-10-28T02:00:02.725041Z,distance,44.189,155255618.013181,6139530.75797081,,ipaddr
4999,Sponsor,ServerName,2020-10-28T03:00:02.273050Z,distance,51.114,217685400.687413,5719310.21882091,,ipaddr
18648,Sponsor,ServerName,2020-10-28T04:00:03.393117Z,distance,40.102,146803217.250024,5941785.61340251,,ipaddr
3723,Sponsor,ServerName,2020-10-28T05:00:02.019685Z,distance,46.778,224607627.615837,6157162.45335398,,ipaddr
3723,Sponsor,ServerName,2020-10-28T06:00:02.721767Z,distance,45.677,221343104.538008,6009507.59675328,,ipaddr
3723,Sponsor,ServerName,2020-10-28T07:00:03.194116Z,distance,46.192,214146548.424453,6218403.49599737,,ipaddr
3723,Sponsor,ServerName,2020-10-28T08:00:03.001997Z,distance,47.3,218044996.630845,6202214.58506254,,ipaddr
3723,Sponsor,ServerName,2020-10-28T09:00:02.872215Z,distance,45.563,228036604.635715,5993048.36511263,,ipaddr
3723,Sponsor,ServerName,2020-10-28T10:00:02.541604Z,distance,45.561,216337426.734938,6217858.28913398,,ipaddr
3723,Sponsor,ServerName,2020-10-28T11:00:02.448869Z,distance,47.098,218708546.083737,6188136.82412151,,ipaddr
13146,Sponsor,ServerName,2020-10-28T12:00:02.324376Z,distance,51.453,190431422.947748,6057751.21115531,,ipaddr
3723,Sponsor,ServerName,2020-10-28T13:00:02.791297Z,distance,46.444,204505438.225632,6120699.63901657,,ipaddr
3723,Sponsor,ServerName,2020-10-28T14:00:03.805723Z,distance,49.838,219000245.467677,6249476.2699217,,ipaddr
3723,Sponsor,ServerName,2020-10-28T15:00:01.855291Z,distance,49.44,219266158.007119,5648257.51757963,,ipaddr
3723,Sponsor,ServerName,2020-10-28T16:00:03.373135Z,distance,51.125,202267356.546525,6254678.11873196,,ipaddr
3723,Sponsor,ServerName,2020-10-28T17:00:02.655986Z,distance,51.595,199116949.178917,5884700.01974411,,ipaddr
3723,Sponsor,ServerName,2020-10-28T18:00:02.670736Z,distance,50.776,210626454.553969,5955976.34429358,,ipaddr
3723,Sponsor,ServerName,2020-10-28T19:00:02.696541Z,distance,49.189,207862879.175666,5973924.73871768,,ipaddr
3723,Sponsor,ServerName,2020-10-28T20:00:02.988817Z,distance,48.68,200179991.914784,5980812.67483781,,ipaddr
3723,Sponsor,ServerName,2020-10-28T21:00:02.069028Z,distance,49.306,197098958.332506,6148874.40437319,,ipaddr
18648,Sponsor,ServerName,2020-10-28T22:00:02.164808Z,distance,51.018,201476094.164662,6123856.1243082,,ipaddr
18648,Sponsor,ServerName,2020-10-28T23:00:01.885321Z,distance,39.337,178539597.312292,6120527.58127643,,ipaddr
4999,Sponsor,ServerName,2020-10-29T00:00:03.419716Z,distance,52.827,171537035.751414,5863789.24971846,,ipaddr
